loss,Accuracy,F1-Score
1.471539153,0.401447208,0.38415975
1.504735108,0.364591198,0.364200091
1.532968523,0.357581175,0.345972431
1.523545731,0.306582526,0.302171105
1.522530152,0.382986885,0.380515776
1.497940654,0.340606064,0.329922116
1.502373265,0.378853673,0.373362991
1.452012508,0.440919344,0.431993828
1.512580784,0.402039948,0.401803767
1.485957285,0.381383982,0.3689808
1.519839067,0.348615373,0.33497876
1.568013994,0.279644403,0.261088881
1.42565573,0.460605265,0.434684179
1.515268441,0.381206345,0.389833231
1.549586319,0.369992623,0.357913683
1.393707501,0.493774514,0.483357401
1.503847206,0.345158701,0.32956435
1.50152345,0.434530878,0.423490654
1.465009443,0.337400986,0.309396577
1.477003031,0.346130239,0.323631181
1.498439907,0.391901623,0.378109813
1.432282304,0.395073548,0.386236111
1.446633814,0.406408329,0.40006228
1.462880195,0.424607157,0.406299781
1.433109808,0.476046132,0.4747098
1.414559288,0.445544226,0.436427021
1.354366151,0.476954436,0.464411872
1.451821341,0.399498031,0.38191711
1.47180056,0.401136506,0.377321418
1.423004713,0.486520077,0.464462473
1.491483793,0.357000714,0.348378523
1.446234954,0.423020654,0.417205753
1.438732664,0.437151211,0.415574288
1.344196538,0.480404604,0.471750065
1.426429755,0.439664295,0.438462513
1.470452636,0.398302465,0.389249041
1.36475191,0.485585406,0.465040204
1.354069234,0.510547648,0.511416803
1.480635638,0.398137966,0.392525567
1.322891375,0.500948336,0.490293038
1.406296412,0.421862595,0.41043686
1.395987759,0.437704696,0.432305237
1.429163424,0.431778902,0.417498445
1.475722655,0.393329829,0.392305755
1.398650615,0.448557548,0.427465653
1.417504854,0.396553326,0.378153311
1.365210465,0.506894077,0.488422967
1.439808791,0.382482607,0.365117147
1.438684883,0.438017052,0.428920242
1.395766551,0.454990684,0.446254396
1.399223842,0.447764984,0.437324999
1.469524685,0.382448086,0.374432109
1.378717908,0.41524324,0.412855525
1.378775797,0.474505458,0.458959468
1.383684525,0.442533509,0.420335833
1.360164266,0.466780514,0.461603726
1.3757532,0.486985212,0.47547224
1.478720306,0.438437583,0.430172347
1.41721092,0.453473419,0.448930131
1.39095257,0.464931016,0.430051444
1.514207349,0.377388676,0.371439718
1.543249452,0.392015426,0.374494972
1.385087147,0.421618377,0.416875597
1.50087019,0.373233806,0.367420995
1.501943058,0.410550591,0.405810086
1.48206803,0.400440576,0.38738227
1.360830632,0.463631519,0.451364165
1.449614432,0.499050656,0.495196257
1.334217685,0.484700422,0.481685704
1.408936252,0.441730468,0.431193883
1.432503209,0.394789734,0.394134931
1.416556826,0.422051035,0.405628147
1.469015854,0.353231773,0.347566707
1.314671626,0.453271989,0.448041582
1.41953143,0.420585831,0.423900679
1.430117614,0.407387735,0.409846719
1.364917672,0.486101254,0.474056021
1.475255708,0.390838887,0.387820614
1.443177611,0.476351853,0.46236601
1.44350639,0.434480795,0.417479101
1.357291308,0.494449454,0.491092234
1.436965743,0.381234333,0.372463886
1.403348237,0.46028603,0.451418581
1.387967706,0.450491986,0.453011746
1.419515649,0.407622844,0.405698896
1.427110508,0.423908267,0.407176021
1.447894008,0.425692153,0.425660646
1.355926745,0.480698575,0.471037418
1.507375618,0.390707366,0.376858186
1.365920814,0.450235431,0.444438854
1.445888847,0.417634081,0.414775216
1.457571127,0.395025658,0.374704863
1.395210104,0.414444291,0.424119964
1.399804847,0.460578159,0.456824163
1.42996059,0.4616626,0.448437217
1.462256515,0.401718945,0.388944287
1.374713463,0.467954966,0.469602197
1.216189458,0.584049616,0.58000097
1.379414903,0.45028847,0.43508044
1.448189557,0.410960459,0.398141063
1.375714977,0.448529046,0.428809119
1.476604018,0.355704671,0.346840062
1.481065592,0.371414359,0.36039423
1.543237673,0.392331433,0.383354874
1.492982809,0.363340335,0.359415544
1.403437622,0.469810264,0.445245461
1.277279882,0.532810993,0.528546463
1.440811334,0.395937173,0.398303505
1.300780533,0.44311418,0.439661673
1.378308982,0.459540941,0.455713687
1.398353965,0.458743555,0.449167045
1.392034565,0.447074833,0.429214461
1.39476977,0.417568518,0.410921805
1.259997628,0.500710318,0.493183626
1.377238536,0.425141965,0.427630339
1.305890354,0.492993116,0.479212464
1.410207302,0.434349243,0.423115006
1.358771777,0.466702614,0.466930299
1.520103652,0.360077902,0.356636212
1.423579602,0.441556432,0.437488307
1.452799495,0.406123226,0.383331226
1.395357089,0.432786295,0.428571859
1.249670195,0.53922889,0.530085533
1.187295111,0.548252664,0.548470896
1.41469759,0.412942921,0.416866895
1.477970467,0.392145799,0.393680251
1.384118735,0.403388072,0.396745175
1.426289495,0.442388234,0.428729663
1.26292934,0.54911261,0.535103306
1.281512828,0.475077524,0.466207204
1.459579932,0.405772434,0.390655342
1.285693142,0.507860929,0.484670801
1.359290799,0.449614581,0.424969563
1.361109674,0.426379137,0.424405121
1.405425977,0.427503784,0.410045806
1.354182058,0.463481666,0.459639512
1.38314761,0.464388466,0.456802117
1.294704091,0.49322869,0.476221828
1.37629911,0.431728931,0.417883558
1.450757554,0.449799955,0.434261285
1.457806185,0.425711433,0.424603991
1.347693685,0.43814371,0.428788935
1.324882835,0.462257918,0.4569372
1.421759893,0.431190745,0.419566362
1.564102953,0.350718299,0.349431113
1.382481025,0.440858031,0.423246899
1.297947498,0.462864225,0.46692159
1.417792406,0.404504029,0.391674697
1.525712962,0.408109598,0.393724911
1.449267086,0.412521199,0.403736005
1.391587826,0.405886924,0.408060275
1.347890316,0.457287658,0.443249515
1.30683428,0.490660239,0.485992288
1.33716774,0.463973693,0.458957759
1.196422684,0.545229017,0.532692679
1.234815114,0.458578188,0.454161838
1.326727224,0.494979409,0.47876743
1.362418794,0.414220695,0.416175117
1.374339704,0.442918731,0.433314332
1.250529435,0.567079296,0.559457848
1.282726555,0.502455387,0.481292075
1.344630508,0.497068897,0.479968375
1.45003084,0.380981798,0.367174337
1.331933852,0.447986788,0.43888026
1.413054358,0.420135218,0.405649482
1.270994476,0.48729626,0.475674043
1.315436168,0.47566007,0.472906263
1.416497745,0.43469373,0.420101795
1.371900181,0.481388905,0.481818593
1.33899948,0.478525646,0.470564493
1.355650847,0.420071267,0.410662085
1.343098075,0.509236691,0.510897796
1.293200182,0.473351415,0.467714007
1.227132801,0.560451629,0.564374025
1.3829718,0.456426495,0.446267571
1.521601484,0.35593577,0.360593911
1.357346016,0.483149111,0.478186579
1.323766006,0.498802307,0.485722253
1.39649901,0.479234087,0.474669432
1.319233734,0.505385991,0.501317923
1.417783397,0.420365486,0.414236571
