loss,Accuracy,F1-Score
1.519035607,0.372277062,0.344744647
1.569461917,0.341933322,0.35354651
1.425177395,0.408206327,0.387385541
1.559277409,0.373686925,0.356003182
1.479866863,0.396793356,0.386566413
1.567526955,0.313774475,0.304003738
1.529361877,0.345496161,0.333811616
1.574892994,0.345064658,0.343241646
1.591899708,0.307978373,0.305239913
1.624751755,0.306897942,0.305785874
1.497502473,0.397830649,0.391213681
1.502893315,0.343548721,0.324454936
1.508845218,0.368781636,0.364458292
1.433848168,0.41324608,0.395043682
1.519128952,0.35513819,0.357836086
1.424062561,0.428951995,0.408161144
1.491780903,0.323297753,0.314715459
1.466129097,0.356020541,0.357176481
1.527913213,0.350669431,0.343519368
1.512606138,0.31954102,0.303586236
1.52881109,0.363910106,0.363048849
1.50697182,0.367432443,0.358962354
1.367084617,0.504638922,0.489973203
1.463584003,0.388075606,0.372787669
1.425322706,0.40730108,0.38613121
1.401888786,0.449158179,0.431458727
1.516579914,0.354891348,0.345562155
1.456788174,0.39813535,0.388235821
1.470539193,0.411117631,0.412706179
1.449719309,0.466163947,0.453923339
1.494850277,0.388964665,0.374078498
1.466800148,0.400895091,0.380832794
1.488605638,0.334174494,0.326435718
1.436897428,0.440483757,0.431007685
1.436769568,0.395622983,0.385249654
1.473475425,0.407494714,0.396408209
1.410149555,0.454852332,0.447059787
1.40070187,0.461483924,0.450233505
1.517586822,0.394626388,0.38464684
1.427029261,0.39983981,0.368703086
1.415574821,0.387336444,0.388220829
1.378588684,0.446666007,0.44162307
1.445850106,0.445765205,0.436840074
1.349836096,0.449773714,0.438116294
1.538881927,0.344702036,0.335501183
1.408968842,0.472965399,0.458017143
1.454501276,0.464732535,0.44843343
1.448077444,0.405503252,0.398895999
1.391255461,0.477295403,0.471026986
1.425808369,0.450299184,0.42487321
1.443367305,0.374008586,0.362919519
1.519039635,0.366500006,0.342899657
1.350464919,0.476589041,0.463665073
1.468307393,0.413839138,0.399786446
1.505170482,0.40326134,0.398476591
1.450525109,0.417885413,0.399600598
1.461498575,0.408785762,0.39442371
1.459468336,0.383507594,0.357645927
1.527551449,0.356506651,0.338837827
1.288849152,0.517580929,0.505189172
1.446814839,0.402266727,0.391009841
1.547414505,0.379254113,0.378824805
1.323272516,0.440793173,0.434637198
1.37905232,0.461422633,0.448058355
1.414359568,0.407648738,0.40243024
1.299406553,0.4933509,0.491217499
1.397347188,0.455335162,0.447379978
1.359563765,0.442882328,0.424245507
1.42010855,0.434373148,0.427449135
1.412808502,0.471910124,0.448998702
1.329586397,0.525500868,0.51484678
1.469909366,0.412480904,0.410414466
1.366564339,0.412913542,0.401107159
1.403517675,0.426733221,0.422806801
